Sample;observed_fungi;chao1_fungi;shannon_fungi;observed_plant;chao1_plant;shannon_plant
Canada-2;11;11;1,200982188;4;10;1,386294361
Canada-3;17;17;1,290788964;5;15;1,609437912
Canada-4;2;2;0,076915023;1;1;0
Canada-5;5;5;0,579696607;4;10;1,386294361
Canada-6;11;11;1,418749549;12;78;2,48490665
Canada-7;12;12;1,368665697;15;120;2,708050201
Canada-8;4;4;0,699459534;4;10;1,386294361
Canada-9;3;3;0,810738792;2;3;0,693147181
Canada-10;3;3;0,729131768;4;10;1,386294361
Canada-11;6;6;0,416955968;4;10;1,386294361
Canada-12;6;6;0,392100734;6;21;1,791759469
Canada-13;4;4;0,074811546;4;10;1,386294361
Canada-14;5;5;0,74970455;12;78;2,48490665
Canada-15;4;4;1,122148499;12;78;2,48490665
Canada-16;6;6;0,525606127;10;55;2,302585093
Canada-17;8;8;1,346677426;14;105;2,63905733
Canada-18;5;5;0,191349947;5;15;1,609437912
Canada-19;5;5;0,803535736;1;1;0
Canada-20;5;5;0,624102086;9;45;2,197224577
Canada-21;5;5;0,758598328;5;15;1,609437912
Canada-22;1;1;0;1;1;0
Canada-23;6;6;0,072302537;6;21;1,791759469
Canada-24;8;8;0,373103946;16;136;2,772588722
Canada-25;13;13;1,190758729;9;45;2,197224577
Canada-26;7;7;0,453900985;6;21;1,791759469
Canada-27;9;9;1,60158586;9;45;2,197224577
Canada-28;4;4;1,041285615;5;15;1,609437912
Canada-29;2;2;0,066724724;3;6;1,098612289
Canada-30;2;2;0,028605585;4;10;1,386294361
Canada-31;2;2;0,488119486;5;15;1,609437912
Canada-33;3;3;0,250355995;5;15;1,609437912
Canada-34;8;8;0,160880831;7;28;1,945910149
Canada-35;5;5;1,163812778;4;10;1,386294361
Canada-36;3;3;0,919620634;1;1;0
Canada-37;12;12;1,175156176;6;21;1,791759469
Canada-38;8;8;1,327907526;10;55;2,302585093
Canada-39;2;2;0,685352409;1;1;0
Canada-40;4;4;0,240037346;5;15;1,609437912
Canada-41;4;4;0,101544625;8;36;2,079441542
Canada-42;7;7;1,017080005;6;21;1,791759469
Canada-43;5;5;0,507621082;7;28;1,945910149
Canada-44;7;7;0,687849206;4;10;1,386294361
