Species;Starmerella bombicola;Mucor circinelloides;Zygosaccharomyces rouxii;Saccharomycopsis capsularis;Mucor falcatus;Starmerella lactis-condensi;Mucor lusitanicus;Starmerella jinningensis;Moniliella pollinis;Lachancea quebecensis;Hanseniaspora vineae;Mucor hiemalis f. hiemalis;Torulaspora microellipsoides;Hormonema macrosporum;Starmerella apicola;Neodothiora populina;Mucor ramosissimus;Filobasidium floriforme;Filobasidium wieringae;Lachancea kluyveri;Starmerella floricola;Filobasidium magnum;Torulaspora delbrueckii;Pseudopithomyces palmicola;Curvibasidium [Rhodotorula] nothofagi;Phialemoniopsis curvata;Wickerhamomyces [Candida] silvicultrix;Neoascochyta cylindrispora;Rhodotorula babjevae;Zygosaccharomyces gambellarensis;Alternaria rosae;Exserohilum turcicum;Sporobolomyces ruberrimus;Exophiala xenobiotica;Stemphylium loti;Puccinia coronati-brevispora;Neocucurbitaria salicis-albae;Buckleyzyma aurantiaca;Candida orthopsilosis;Golubevia pallescens;Coprinus littoralis;Curvularia coatesiae;Filobasidium oeirense;Puccinia coronati-agrostidis;Tilletiopsis washingtonensis
Canada-2;2698;3095;156;0;273;0;344;29;32;0;0;0;0;0;0;0;0;0;0;0;0;17;0;11;0;0;0;0;0;0;20;0;0;0;0;0;0;17;0;0;0;0;0;0;0
Canada-3;602;232;138;0;73;149;5792;2040;0;0;0;0;0;0;57;0;0;0;16;0;0;89;89;17;0;64;0;0;39;0;0;0;0;0;20;0;0;0;0;16;0;0;0;10;0
Canada-4;1601;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Canada-5;14706;1267;0;0;1612;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Canada-6;737;14;2271;0;74;0;0;882;50;0;0;0;0;0;317;0;0;0;0;0;0;0;0;71;0;0;0;0;0;26;0;0;0;20;0;0;0;0;0;0;0;10;0;0;0
Canada-7;10;4937;85;0;1657;0;937;76;467;6074;0;0;0;0;14;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0
Canada-8;0;40376;0;0;0;38399;57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0
Canada-9;15290;18725;0;0;0;0;0;1166;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Canada-10;0;0;0;0;2998;0;87;1635;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Canada-11;0;31;2258;0;0;48;0;0;0;0;0;0;0;0;102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0
