sp_ID;Canada-2;Canada-3;Canada-4;Canada-5;Canada-6;Canada-7;Canada-8;Canada-9;Canada-10;Canada-11;Canada-12;Canada-13;Canada-14;Canada-15;Canada-16;Canada-17;Canada-18;Canada-19;Canada-20;Canada-21;Canada-22;Canada-23;Canada-24;Canada-25;Canada-26;Canada-27;Canada-28;Canada-29;Canada-30;Canada-31;Canada-33;Canada-34;Canada-35;Canada-36;Canada-37;Canada-38;Canada-39;Canada-40;Canada-41;Canada-42;Canada-43;Canada-44
Acer pseudoplatanus;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Acer tataricum subsp. ginnala;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66;0;0;0;0;0;0;0;0;0;0;0;0
Aesculus hippocastanum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;0;12;0;0;0;0;0;0;0;0;0;0;0;0
Ageratina altissima;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alliaria petiolata;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;109;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Allium aflatunense;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;101;0;0;0;0;0;0;0;0;0;0;0;0
Allium tuberosum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ambrosia trifida;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;106;0
Arabidopsis thaliana;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aralia spinosa;0;0;0;0;0;2190;0;0;0;0;0;0;0;0;0;170;0;0;0;0;0;0;0;0;0;0;1135;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Arctium lappa;0;0;0;0;64;0;0;0;0;0;0;0;39;0;54;0;0;0;0;0;0;57;473;0;0;1272;0;0;0;0;0;0;0;0;0;518;0;0;49;0;0;0
Arctium minus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Artemisia vulgaris;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;321;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bidens frondosa;0;0;0;0;0;0;0;0;0;0;302;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Borago officinalis;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Brassica napus;0;0;0;0;0;0;0;0;0;9064;0;0;0;0;0;0;1540;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18796;0;0;0;0;0;0;0;0;0;0
Brassica nigra;0;0;0;0;0;0;0;0;0;25;0;0;0;56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Calystegia spithamaea;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0
Caragana arborescens;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3059;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carduus acanthoides;0;0;0;0;0;0;0;0;0;0;0;0;0;75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;209;32;0
Centaurea jacea;95;0;0;0;0;0;0;0;0;0;0;0;197;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;0;0;0;373;0;0;53;0;0;0
