sp_ID;Family;genus;Species
Alternaria rosae;Pleosporaceae;Alternaria;Alternaria rosae
Aspergillus viridicatenatus;Aspergillaceae;Aspergillus;Aspergillus viridicatenatus
Buckleyzyma aurantiaca;Cystobasidiomycetes;Buckleyzyma;Buckleyzyma aurantiaca
Candida orthopsilosis;Debaryomycetaceae;Candida;Candida orthopsilosis
Coprinus littoralis;Agaricaceae;Coprinus;Coprinus littoralis
Curvibasidium [Rhodotorula] nothofagi;Microbotryomycetes;Curvibasidium;Curvibasidium [Rhodotorula] nothofagi
Curvularia coatesiae;Pleosporaceae;Curvularia;Curvularia coatesiae
Exophiala xenobiotica;Herpotrichiellaceae;Exophiala;Exophiala xenobiotica
Exserohilum turcicum;Pleosporaceae;Exserohilum;Exserohilum turcicum
Filobasidium floriforme;Filobasidiaceae;Filobasidium;Filobasidium floriforme
Filobasidium magnum;Filobasidiaceae;Filobasidium;Filobasidium magnum
Filobasidium oeirense;Filobasidiaceae;Filobasidium;Filobasidium oeirense
Filobasidium wieringae;Filobasidiaceae;Filobasidium;Filobasidium wieringae
Golubevia pallescens;Golubeviaceae;Golubevia;Golubevia pallescens
Hanseniaspora vineae;Saccharomycodaceae;Hanseniaspora;Hanseniaspora vineae
Hormonema macrosporum;Dothioraceae;Hormonema;Hormonema macrosporum
Lachancea kluyveri;Saccharomycetaceae;Lachancea;Lachancea kluyveri
Lachancea quebecensis;Saccharomycetaceae;Lachancea;Lachancea quebecensis
Moniliella pollinis;Moniliellaceae;Moniliella;Moniliella pollinis
Mucor circinelloides;Mucoraceae;Mucor;Mucor circinelloides
Mucor falcatus;Mucoraceae;Mucor;Mucor falcatus
Mucor hiemalis f. hiemalis;Mucoraceae;Mucor;Mucor hiemalis f. hiemalis
Mucor lusitanicus;Mucoraceae;Mucor;Mucor lusitanicus
Mucor ramosissimus;Mucoraceae;Mucor;Mucor ramosissimus
Neoascochyta cylindrispora;Didymellaceae;Neoascochyta;Neoascochyta cylindrispora
Neocucurbitaria salicis-albae;Cucurbitariaceae;Neocucurbitaria;Neocucurbitaria salicis-albae
Neodothiora populina;Dothioraceae;Neodothiora;Neodothiora populina
Phialemoniopsis curvata;Xylariales;Phialemoniopsis;Phialemoniopsis curvata
Pseudopithomyces palmicola;Didymosphaeriaceae;Pseudopithomyces;Pseudopithomyces palmicola
Puccinia coronati-agrostidis;Pucciniaceae;Puccinia;Puccinia coronati-agrostidis
Puccinia coronati-brevispora;Pucciniaceae;Puccinia;Puccinia coronati-brevispora
Rhodotorula babjevae;Sporidiobolaceae;Rhodotorula;Rhodotorula babjevae
Saccharomycopsis capsularis;Saccharomycopsidaceae;Saccharomycopsis;Saccharomycopsis capsularis
Sporobolomyces ruberrimus;Sporidiobolaceae;Sporobolomyces;Sporobolomyces ruberrimus
Starmerella apicola;Incertae sedis;Starmerella;Starmerella apicola
Starmerella bombicola;Incertae sedis;Starmerella;Starmerella bombicola
Starmerella floricola;Incertae sedis;Starmerella;Starmerella floricola
Starmerella jinningensis;Incertae sedis;Starmerella;Starmerella jinningensis
Starmerella lactis-condensi;Incertae sedis;Starmerella;Starmerella lactis-condensi
Stemphylium loti;Pleosporaceae;Stemphylium;Stemphylium loti
Tilletiopsis washingtonensis;Entylomatales;Tilletiopsis;Tilletiopsis washingtonensis
Torulaspora delbrueckii;Saccharomycetaceae;Torulaspora;Torulaspora delbrueckii
Torulaspora microellipsoides;Saccharomycetaceae;Torulaspora;Torulaspora microellipsoides
Wickerhamomyces [Candida] silvicultrix;Phaffomycetaceae;Wickerhamomyces;Wickerhamomyces [Candida] silvicultrix
Zygosaccharomyces gambellarensis;Saccharomycetaceae;Zygosaccharomyces;Zygosaccharomyces gambellarensis
Zygosaccharomyces rouxii;Saccharomycetaceae;Zygosaccharomyces;Zygosaccharomyces rouxii
